home_team_id,visitor_team_id,play_at,pool_id
1,2,2014-06-12 20:00:00,1
3,4,2014-06-13 16:00:00,1
5,6,2014-06-13 19:00:00,1
7,8,2014-06-13 22:00:00,1
9,10,2014-06-14 16:00:00,1
15,16,2014-06-14 22:00:00,1
13,14,2014-06-14 19:00:00,1
11,12,2014-06-15 01:00:00,1
19,20,2014-06-15 19:00:00,1
17,18,2014-06-15 16:00:00,1
21,22,2014-06-15 22:00:00,1
23,24,2014-06-16 19:00:00,1
25,26,2014-06-16 16:00:00,1
27,28,2014-06-16 22:00:00,1
29,30,2014-06-17 16:00:00,1
31,32,2014-06-17 22:00:00,1
1,3,2014-06-17 19:00:00,2
8,6,2014-06-18 16:00:00,2
5,7,2014-06-18 19:00:00,2
4,2,2014-06-18 22:00:00,2
9,11,2014-06-19 16:00:00,2
13,15,2014-06-19 19:00:00,2
12,10,2014-06-19 22:00:00,2
16,14,2014-06-20 16:00:00,2
17,19,2014-06-20 19:00:00,2
20,18,2014-06-20 22:00:00,2
21,23,2014-06-21 16:00:00,2
25,27,2014-06-21 19:00:00,2
24,22,2014-06-21 22:00:00,2
29,31,2014-06-22 16:00:00,2
32,30,2014-06-22 19:00:00,2
28,26,2014-06-22 22:00:00,2
6,7,2014-06-23 16:00:00,3
8,5,2014-06-23 16:00:00,3
4,1,2014-06-23 20:00:00,3
2,3,2014-06-23 20:00:00,3
16,13,2014-06-24 16:00:00,3
14,15,2014-06-24 16:00:00,3
12,9,2014-06-24 20:00:00,3
10,11,2014-06-24 20:00:00,3
24,21,2014-06-25 16:00:00,3
22,23,2014-06-25 16:00:00,3
20,17,2014-06-25 20:00:00,3
18,19,2014-06-25 20:00:00,3
26,27,2014-06-26 16:00:00,3
28,25,2014-06-26 16:00:00,3
32,29,2014-06-26 20:00:00,3
30,31,2014-06-26 20:00:00,3
