id,name,image,shortname
1,BRASIL,bra.png,BRA
2,CROACIA,cro.png,CRO
3,MEXICO,mex.png,MEX
4,CAMERUN,cam.png,CMR
5,ESPAÑA,spa.png,ESP
6,HOLANDA,ned.png,NED
7,CHILE,chi.png,CHI
8,AUSTRALIA,aus.png,AUS
9,COLOMBIA,col.png,COL
10,GRECIA,gre.png,GRE
11,C. DE MARFIL,cot.png,CIV
12,JAPON,jap.png,JPN
13,URUGUAY,uru.png,URU
14,COSTA RICA,cos.png,CRC
15,INGLATERRA,eng.png,ENG
16,ITALIA,ita.png,ITA
17,SUIZA,swi.png,SUI
18,ECUADOR,ecu.png,ECU
19,FRANCIA,fra.png,FRA
20,HONDURAS,hon.png,HON
21,ARGENTINA,arg.png,ARG
22,BOSNIA-HERZ,bos.png,BIH
23,IRAN,ira.png,IRN
24,NIGERIA,nig.png,NGA
25,ALEMANIA,ger.png,GER
26,PORTUGAL,por.png,POR
27,GHANA,gha.png,GHA
28,EUA,usa.png,USA
29,BELGICA,bel.png,BEL
30,ARGELIA,alg.png,ALG
31,RUSIA,rus.png,RUS
32,COREA,skr.png,KOR
